Origin_Node,Origin_Lon,Origin_Lat,Dest_Node,Dest_Lon,Dest_Lat,Distance_km,Is_On_Optimal_Route
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,SELÇUKLAR CAMİİ,29.1141739999917,40.9782920005503,77.0282,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ŞEHİT ASKERİ ÇOBAN,29.1030369999914,41.0487400005617,70.2434,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,NEVZAT AYAZ ANADOLU LİSESİ,29.1050839603896,41.0305569600878,71.4191,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,SAHİL YOLU-2,28.7043239999758,41.3334350006074,42.4555,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,DOĞANCILI KÖYÜ,29.4391499889812,41.1934299789376,117.1067,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,AKASYA KONUTLARI GÖL ETABI,29.0557889999907,41.0064260005549,67.3818,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,AKPINAR KÖYÜ MEZARLIĞI,28.8140538626958,41.2780617224951,49.5538,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,EVYAP CAMİİ ,28.9915859805012,41.1090050356075,59.0093,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ÖZTEPE CADDESİ,29.2708380000095,41.0108569991167,88.7702,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ZÜMRÜT,28.6540179843309,41.0610780193715,24.892,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,KIVILCIM SOKAK,29.2533056039897,40.9641156848884,87.22189999999999,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,YILMAZKENT,28.6606839999729,41.0174820005556,32.1598,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ŞENBAĞLAR,29.1704849999923,41.0718050005654,71.8754,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,NURİ CINGILLIOĞLU MESLEKİ VE TEKNİK ANADOLU LİSESİ,29.1122689999917,40.97557500055,77.14739999999999,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,TEKSTİLKENT ÇARŞI,28.865820650156,41.0671597947319,42.7876,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,FATİH SULTAN MEHMET EĞİTİM VE ARAŞTIRMA HASTANESİ,29.1008049999916,40.9704530005491,78.3487,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ŞEHİT İBRAHİM KOPARIR CADDESİ,28.8791499276593,41.009941314845,47.284699999999994,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,FEVZİ ÇAKMAK MAHALLESİ,28.8594849999853,41.0424760005603,42.5485,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,MARMARA CADDESİ,28.6384696686707,40.9707685137959,29.499200000000002,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,BULGURLU CADDESİ,29.074887999991,41.0155670005563,74.90060000000001,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,HZ.EBUBEKİR CAMİİ,28.8684480169388,41.0343219939212,44.4868,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,MARMARA ÜNİVERSİTESİ HASTANESİ,29.2609176000096,40.8867881991193,97.9606,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ŞEHİT AHMET KOCABAY ANADOLU İMAM HATİP LİSESİ,28.6389676521734,41.026657223589,28.7649,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,AYDINLI YOLU CADDESİ,29.3134769999944,40.8538150005308,104.7607,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,ATATÜRK BULVARI,28.6511749999728,40.9977050005529,29.7718,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,SANCAKTEPE,28.7201099999774,41.2099450005872,34.96,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,KALYON SOKAK,29.2261769999934,40.9066820005391,92.49730000000001,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,İNCİRTEPE,28.6857659999756,41.0237230005571,29.6345,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,HALK EKMEK,28.0419759997698,41.0523120005556,47.5459,1
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,KARANFİL ALTI,29.0228779545137,41.0926269778923,59.6083,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,HAREKET SİTESİ,29.0360669999902,41.0748590005658,60.6481,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,YUNUS,29.2084999999932,40.8829430005353,95.4166,0
ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,SOĞUKSU MAHALLESİ,29.1621690436412,41.1740460261898,80.59360000000001,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,FEVZİ ÇAKMAK CADDESİ,28.7165869999779,40.9984380005531,66.3795,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,ÇATALCA DEVLET HASTANESİ ACİL GİRİŞİ,28.4656043141045,41.1356651078862,50.2759,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,AYDIN,28.6743659999746,41.0336980005586,62.5954,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,ŞEHİT EROL OLÇOK,29.0419569999904,41.0213840005572,108.4057,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,SU TERAZİSİ,28.7784149999817,41.0029450005539,72.5693,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,AŞIK MAHSUNİ ŞERİF CADDESİ,29.1870010000103,40.9976309991169,121.8677,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,BLOKLAR- ŞEHİT MEHMET CİVAK,28.9994669645928,41.1220159650117,103.3257,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,SÜNNET KÖPRÜSÜ,28.9510299999882,41.0635170005639,99.7386,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,BİLGİ SOKAK,29.0325950309239,41.0930880443516,102.6968,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,LİLYUM SOKAK,28.7123323385955,41.0736702937127,75.12310000000001,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,ESENKENT PARK,28.6693000000048,41.0608999991152,70.92580000000001,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,GÖĞÜS HASTANESİ,28.9165884776912,41.0002834089139,95.4759,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,VİLLALAR,29.3264570000089,41.088738999115,131.2505,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,SEVBAN MEHMET CADDESİ,28.7327939999782,41.2081150005869,75.55369999999999,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,BEZMİALEM VAKIF ÜNİVERSİTESİ,28.9342369999879,41.020832000557,92.865,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,ŞEHİT TAHSİN GEREKLİ,28.7143569999776,41.0641270005636,74.1498,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,SELÇUKLAR CAMİİ,29.1141739999917,40.9782920005503,120.8397,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,ŞEHİT ASKERİ ÇOBAN,29.1030369999914,41.0487400005617,114.0548,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,NEVZAT AYAZ ANADOLU LİSESİ,29.1050839603896,41.0305569600878,115.23060000000001,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,SAHİL YOLU-2,28.7043239999758,41.3334350006074,81.4791,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,DOĞANCILI KÖYÜ,29.4391499889812,41.1934299789376,156.13029999999998,1
ŞERİF AĞA,28.0021162614193,41.0972543820986,AKASYA KONUTLARI GÖL ETABI,29.0557889999907,41.0064260005549,111.19330000000001,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,AKPINAR KÖYÜ MEZARLIĞI,28.8140538626958,41.2780617224951,88.5774,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,EVYAP CAMİİ ,28.9915859805012,41.1090050356075,102.8208,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,ÖZTEPE CADDESİ,29.2708380000095,41.0108569991167,138.935,0
ŞERİF AĞA,28.0021162614193,41.0972543820986,ZÜMRÜT,28.6540179843309,41.0610780193715,68.7035,0
