LATITUDE,LONGITUDE,AVERAGE_SPEED,MAXIMUM_SPEED,NUMBER_OF_VEHICLES
40.9213256835938,29.1192626953125,30.0,46,1.0
40.9213256835938,29.1302490234375,37.774193548387096,140,130.2258064516129
40.9213256835938,29.1412353515625,26.419354838709676,77,54.29032258064516
40.9213256835938,29.1522216796875,32.45161290322581,133,229.80645161290323
40.9213256835938,29.1632080078125,42.935483870967744,157,338.06451612903226
40.9213256835938,29.1741943359375,35.32258064516129,153,267.03225806451616
40.9213256835938,29.1851806640625,40.0,96,80.0
40.9213256835938,29.1961669921875,33.516129032258064,115,107.74193548387096
40.9213256835938,29.2071533203125,43.45161290322581,135,251.4516129032258
40.9213256835938,29.2181396484375,70.06451612903226,121,65.41935483870968
40.9213256835938,29.3060302734375,54.483870967741936,106,89.93548387096774
40.9213256835938,29.3170166015625,56.58064516129032,142,206.80645161290323
40.9213256835938,29.3280029296875,90.41935483870968,142,37.61290322580645
40.9213256835938,29.3389892578125,55.12903225806452,141,243.7741935483871
40.9213256835938,29.3499755859375,60.96774193548387,168,386.19354838709677
40.9268188476563,29.1192626953125,52.064516129032256,124,93.90322580645162
40.9268188476563,29.1302490234375,27.06451612903226,87,62.74193548387097
40.9268188476563,29.1412353515625,25.419354838709676,113,57.354838709677416
40.9268188476563,29.1522216796875,35.25806451612903,155,419.48387096774195
40.9268188476563,29.1632080078125,26.258064516129032,73,33.193548387096776
40.9268188476563,29.2071533203125,57.935483870967744,158,226.0
40.9268188476563,29.2181396484375,27.806451612903224,81,17.612903225806452
40.9268188476563,29.3060302734375,37.516129032258064,78,23.29032258064516
40.9268188476563,29.3170166015625,36.806451612903224,113,187.3548387096774
40.9268188476563,29.3280029296875,50.03225806451613,145,203.48387096774192
40.9268188476563,29.3389892578125,59.774193548387096,126,172.80645161290323
40.9268188476563,29.3499755859375,53.0,169,631.6451612903226
40.9268188476563,29.4158935546875,58.096774193548384,111,7.161290322580645
40.9268188476563,29.4378662109375,111.16129032258064,200,54.87096774193548
40.9323120117188,29.1192626953125,48.25806451612903,141,122.7741935483871
40.9323120117188,29.1302490234375,28.64516129032258,95,62.67741935483871
40.9323120117188,29.1412353515625,36.806451612903224,150,380.03225806451616
40.9323120117188,29.1522216796875,23.161290322580644,95,91.96774193548387
40.9323120117188,29.1632080078125,24.548387096774192,69,24.870967741935484
40.9323120117188,29.1741943359375,23.548387096774192,48,4.67741935483871
40.9323120117188,29.2071533203125,71.58064516129032,166,178.0
40.9323120117188,29.3280029296875,40.0,138,495.4516129032258
40.9323120117188,29.3389892578125,60.32258064516129,189,763.4193548387096
40.9323120117188,29.3499755859375,64.61290322580645,151,295.51612903225805
40.9323120117188,29.3609619140625,55.58064516129032,125,52.0
40.9323120117188,29.3719482421875,107.2258064516129,200,49.61290322580645
40.9323120117188,29.3829345703125,107.38709677419355,196,91.0
40.9323120117188,29.3939208984375,108.96774193548387,196,87.64516129032258
40.9323120117188,29.4049072265625,107.74193548387096,217,81.12903225806451
40.9323120117188,29.4158935546875,94.6774193548387,224,123.35483870967742
40.9323120117188,29.4268798828125,107.7741935483871,195,86.25806451612904
40.9323120117188,29.4378662109375,107.74193548387096,197,34.96774193548387
40.9378051757813,29.1082763671875,61.03225806451613,124,50.67741935483871
40.9378051757813,29.1192626953125,35.32258064516129,132,139.4516129032258
40.9378051757813,29.1302490234375,36.645161290322584,140,292.7741935483871
40.9378051757813,29.1412353515625,34.225806451612904,139,340.8709677419355
40.9378051757813,29.1522216796875,20.774193548387096,60,64.51612903225806
40.9378051757813,29.1632080078125,25.193548387096776,66,11.774193548387096
40.9378051757813,29.1741943359375,17.875,29,1.375
40.9378051757813,29.2071533203125,67.3225806451613,171,183.70967741935485
40.9378051757813,29.3060302734375,49.16129032258065,105,66.7741935483871
40.9378051757813,29.3170166015625,51.87096774193548,107,125.45161290322581
40.9378051757813,29.3280029296875,65.87096774193549,181,697.6451612903226
40.9378051757813,29.3389892578125,76.25806451612904,157,156.19354838709677
40.9378051757813,29.3499755859375,69.03333333333333,111,3.1
40.9378051757813,29.3609619140625,80.96774193548387,178,177.61290322580646
40.9378051757813,29.3719482421875,93.16129032258064,194,105.80645161290323
40.9378051757813,29.4049072265625,77.87096774193549,157,31.870967741935484
40.9378051757813,29.4158935546875,46.43333333333333,126,20.9
40.9432983398438,29.0972900390625,56.70967741935484,87,12.483870967741936
40.9432983398438,29.1082763671875,40.516129032258064,139,126.12903225806451
40.9432983398438,29.1192626953125,21.806451612903224,69,59.354838709677416
40.9432983398438,29.1302490234375,33.32258064516129,150,538.3225806451613
40.9432983398438,29.1412353515625,41.03225806451613,123,123.80645161290323
40.9432983398438,29.1522216796875,29.451612903225808,81,89.45161290322581
40.9432983398438,29.1632080078125,33.96774193548387,73,36.096774193548384
40.9432983398438,29.2071533203125,65.03225806451613,158,76.74193548387096
40.9432983398438,29.2181396484375,61.12903225806452,155,223.61290322580646
40.9432983398438,29.2950439453125,42.29032258064516,91,37.41935483870968
40.9432983398438,29.3060302734375,32.774193548387096,89,91.12903225806451
40.9432983398438,29.3170166015625,82.6774193548387,164,502.2903225806452
40.9432983398438,29.3280029296875,82.61290322580645,155,110.0
40.9432983398438,29.3389892578125,79.29032258064517,158,57.096774193548384
40.9432983398438,29.3499755859375,72.03225806451613,173,110.54838709677419
40.9432983398438,29.3609619140625,77.56,124,2.32
40.9432983398438,29.3719482421875,53.935483870967744,131,76.35483870967742
40.9432983398438,29.3829345703125,71.70967741935483,138,50.516129032258064
40.9432983398438,29.3939208984375,30.903225806451612,91,61.774193548387096
40.9432983398438,29.4049072265625,69.38709677419355,135,40.12903225806452
